type_name,type_code,result,xml,adtg,error_number,error_description
"TinyInt","16","ok","corpus/fuzz/type_TinyInt.xml","corpus/fuzz/type_TinyInt.adtg","",""
"UnsignedTinyInt","17","ok","corpus/fuzz/type_UnsignedTinyInt.xml","corpus/fuzz/type_UnsignedTinyInt.adtg","",""
"SmallInt","2","ok","corpus/fuzz/type_SmallInt.xml","corpus/fuzz/type_SmallInt.adtg","",""
"UnsignedSmallInt","18","ok","corpus/fuzz/type_UnsignedSmallInt.xml","corpus/fuzz/type_UnsignedSmallInt.adtg","",""
"Integer","3","ok","corpus/fuzz/type_Integer.xml","corpus/fuzz/type_Integer.adtg","",""
"UnsignedInt","19","ok","corpus/fuzz/type_UnsignedInt.xml","corpus/fuzz/type_UnsignedInt.adtg","",""
"BigInt","20","ok","corpus/fuzz/type_BigInt.xml","corpus/fuzz/type_BigInt.adtg","",""
"UnsignedBigInt","21","ok","corpus/fuzz/type_UnsignedBigInt.xml","corpus/fuzz/type_UnsignedBigInt.adtg","",""
"Single","4","ok","corpus/fuzz/type_Single.xml","corpus/fuzz/type_Single.adtg","",""
"Double","5","ok","corpus/fuzz/type_Double.xml","corpus/fuzz/type_Double.adtg","",""
"Currency","6","ok","corpus/fuzz/type_Currency.xml","corpus/fuzz/type_Currency.adtg","",""
"Boolean","11","ok","corpus/fuzz/type_Boolean.xml","corpus/fuzz/type_Boolean.adtg","",""
"Date","7","ok","corpus/fuzz/type_Date.xml","corpus/fuzz/type_Date.adtg","",""
"DBDate","133","ok","corpus/fuzz/type_DBDate.xml","corpus/fuzz/type_DBDate.adtg","",""
"DBTime","134","ok","corpus/fuzz/type_DBTime.xml","corpus/fuzz/type_DBTime.adtg","",""
"DBTimeStamp","135","ok","corpus/fuzz/type_DBTimeStamp.xml","corpus/fuzz/type_DBTimeStamp.adtg","",""
"FileTime","64","ok","corpus/fuzz/type_FileTime.xml","corpus/fuzz/type_FileTime.adtg","",""
"GUID","72","ok","corpus/fuzz/type_GUID.xml","corpus/fuzz/type_GUID.adtg","",""
"BSTR","8","ok","corpus/fuzz/type_BSTR.xml","corpus/fuzz/type_BSTR.adtg","",""
"Char","129","ok","corpus/fuzz/type_Char.xml","corpus/fuzz/type_Char.adtg","",""
"WChar","130","ok","corpus/fuzz/type_WChar.xml","corpus/fuzz/type_WChar.adtg","",""
"VarChar","200","ok","corpus/fuzz/type_VarChar.xml","corpus/fuzz/type_VarChar.adtg","",""
"VarWChar","202","ok","corpus/fuzz/type_VarWChar.xml","corpus/fuzz/type_VarWChar.adtg","",""
"LongVarChar","201","ok","corpus/fuzz/type_LongVarChar.xml","corpus/fuzz/type_LongVarChar.adtg","",""
"LongVarWChar","203","ok","corpus/fuzz/type_LongVarWChar.xml","corpus/fuzz/type_LongVarWChar.adtg","",""
"Binary","128","ok","corpus/fuzz/type_Binary.xml","corpus/fuzz/type_Binary.adtg","",""
"VarBinary","204","ok","corpus/fuzz/type_VarBinary.xml","corpus/fuzz/type_VarBinary.adtg","",""
"LongVarBinary","205","ok","corpus/fuzz/type_LongVarBinary.xml","corpus/fuzz/type_LongVarBinary.adtg","",""
"Numeric","131","ok","corpus/fuzz/type_Numeric.xml","corpus/fuzz/type_Numeric.adtg","",""
"Decimal","14","ok","corpus/fuzz/type_Decimal.xml","corpus/fuzz/type_Decimal.adtg","",""
"Empty","0","fail","","","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
"VarNumeric","139","fail","","","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
"Error","10","fail","","","-2147217887","Multiple-step operation generated errors. Check each status value."
"Variant","12","fail","","","-2147217891","Requested conversion is not supported."
"IDispatch","9","fail","","","-2147217887","Multiple-step operation generated errors. Check each status value."
"IUnknown","13","fail","","","-2147217887","Multiple-step operation generated errors. Check each status value."
"Chapter","136","fail","","","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
"PropVariant","138","fail","","","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
"UserDefined","132","fail","","","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
"ArrayInteger","8195","fail","","","3001","Arguments are of the wrong type, are out of acceptable range, or are in conflict with one another."
