case,scenario,result,xml,adtg,roundtrip_xml,error_number,error_description
"variant_string","string","fail","","","","-2147217891","Requested conversion is not supported."
"variant_byte","byte","ok","corpus/variant/variant_byte.xml","corpus/variant/variant_byte.adtg","corpus/variant/variant_byte.roundtrip.xml","",""
"variant_smallint","smallint","ok","corpus/variant/variant_smallint.xml","corpus/variant/variant_smallint.adtg","corpus/variant/variant_smallint.roundtrip.xml","",""
"variant_integer","integer","ok","corpus/variant/variant_integer.xml","corpus/variant/variant_integer.adtg","corpus/variant/variant_integer.roundtrip.xml","",""
"variant_single","single","ok","corpus/variant/variant_single.xml","corpus/variant/variant_single.adtg","corpus/variant/variant_single.roundtrip.xml","",""
"variant_double","double","ok","corpus/variant/variant_double.xml","corpus/variant/variant_double.adtg","corpus/variant/variant_double.roundtrip.xml","",""
"variant_currency","currency","ok","corpus/variant/variant_currency.xml","corpus/variant/variant_currency.adtg","corpus/variant/variant_currency.roundtrip.xml","",""
"variant_boolean","boolean","ok","corpus/variant/variant_boolean.xml","corpus/variant/variant_boolean.adtg","corpus/variant/variant_boolean.roundtrip.xml","",""
"variant_date","date","ok","corpus/variant/variant_date.xml","corpus/variant/variant_date.adtg","corpus/variant/variant_date.roundtrip.xml","",""
"variant_empty","empty","ok","corpus/variant/variant_empty.xml","corpus/variant/variant_empty.adtg","corpus/variant/variant_empty.roundtrip.xml","",""
"variant_binary","binary","fail","","","","-2147217891","Requested conversion is not supported."
"variant_null","null","ok","corpus/variant/variant_null.xml","corpus/variant/variant_null.adtg","corpus/variant/variant_null.roundtrip.xml","",""
"variant_mixed","mixed","fail","","","","-2147217891","Requested conversion is not supported."
"variant_error","error","fail","","","","-2147352562","ADODB Field.Value rejects VT_ERROR with DISP_E_BADPARAMCOUNT; reproduce with tools\probe_variant_error.cpp"
"variant_sbyte","sbyte","ok","corpus/variant/variant_sbyte.xml","corpus/variant/variant_sbyte.adtg","corpus/variant/variant_sbyte.roundtrip.xml","",""
"variant_decimal","decimal","ok","corpus/variant/variant_decimal.xml","corpus/variant/variant_decimal.adtg","corpus/variant/variant_decimal.roundtrip.xml","",""
"variant_int64","int64","ok","corpus/variant/variant_int64.xml","corpus/variant/variant_int64.adtg","corpus/variant/variant_int64.roundtrip.xml","",""
"variant_uint16","uint16","ok","corpus/variant/variant_uint16.xml","corpus/variant/variant_uint16.adtg","corpus/variant/variant_uint16.roundtrip.xml","",""
"variant_uint32","uint32","ok","corpus/variant/variant_uint32.xml","corpus/variant/variant_uint32.adtg","corpus/variant/variant_uint32.roundtrip.xml","",""
"variant_uint64","uint64","ok","corpus/variant/variant_uint64.xml","corpus/variant/variant_uint64.adtg","corpus/variant/variant_uint64.roundtrip.xml","",""
